"","stat_id","IP","date","team_key","year","stat_name","IP_round","ERA","WHIP","run_per_inning","run_per_out","wh_per_out","true_WHIP"
"54",50,5.333,16534,"346.l.49099.t.6",2015,"IP",6,3.38,0.94,0.375555555555556,0.125185185185185,0.313333333333333,1.08
"55",50,2,16534,"346.l.49099.t.7",2015,"IP",2,0,2,0,0,0.666666666666667,1.08
"56",50,1,16534,"346.l.49099.t.8",2015,"IP",1,0,0,0,0,0,1.08
"57",50,3,16534,"346.l.49099.t.9",2015,"IP",3,0,0.33,0,0,0.11,1.08
"58",50,7.333,16534,"346.l.49099.t.10",2015,"IP",8,3.68,1.64,0.408888888888889,0.136296296296296,0.546666666666667,1.08
"59",50,6,16534,"346.l.49099.t.11",2015,"IP",6,0,0.83,0,0,0.276666666666667,1.08
"60",50,3.333,16534,"346.l.49099.t.12",2015,"IP",4,0,1.2,0,0,0.4,1.08
"61",50,1.333,16535,"346.l.49099.t.1",2015,"IP",2,13.5,2.25,1.5,0.5,0.75,1.08
"62",50,1,16535,"346.l.49099.t.2",2015,"IP",1,0,0,0,0,0,1.08
"63",50,NA,16535,"346.l.49099.t.3",2015,"IP",12,8.74,1.76,0.971111111111111,0.323703703703704,0.586666666666667,1.08
"64",50,NA,16535,"346.l.49099.t.4",2015,"IP",11,4.09,1.45,0.454444444444444,0.151481481481481,0.483333333333333,1.08
"65",50,2,16535,"346.l.49099.t.5",2015,"IP",2,0,1.5,0,0,0.5,1.08
"66",50,9.333,16535,"346.l.49099.t.6",2015,"IP",10,2.89,1.29,0.321111111111111,0.107037037037037,0.43,1.08
"67",50,1.333,16535,"346.l.49099.t.7",2015,"IP",2,0,0.75,0,0,0.25,1.08
"68",50,6.333,16535,"346.l.49099.t.8",2015,"IP",7,4.26,1.42,0.473333333333333,0.157777777777778,0.473333333333333,1.08
"69",50,6,16535,"346.l.49099.t.9",2015,"IP",6,7.5,1.33,0.833333333333333,0.277777777777778,0.443333333333333,1.08
"70",50,4,16535,"346.l.49099.t.10",2015,"IP",4,2.25,1.25,0.25,0.0833333333333333,0.416666666666667,1.08
"71",50,4,16535,"346.l.49099.t.11",2015,"IP",4,6.75,2,0.75,0.25,0.666666666666667,1.08
"72",50,2.333,16535,"346.l.49099.t.12",2015,"IP",3,3.86,1.71,0.428888888888889,0.142962962962963,0.57,1.08
"73",50,5,16536,"346.l.49099.t.1",2015,"IP",5,9,2.2,1,0.333333333333333,0.733333333333333,1.08
"74",50,18.333,16536,"346.l.49099.t.2",2015,"IP",19,1.47,1.04,0.163333333333333,0.0544444444444444,0.346666666666667,1.08
