stat_id,value,date,team_key,manager,stat_id,stat_name
4,-,2011-04-01,346.l.49099.t.10,wutang,4,OBP
50,-,2011-04-01,346.l.49099.t.10,wutang,50,IP
28,-,2011-04-01,346.l.49099.t.10,wutang,28,W
32,-,2011-04-01,346.l.49099.t.10,wutang,32,SV
42,-,2011-04-01,346.l.49099.t.10,wutang,42,K
26,-,2011-04-01,346.l.49099.t.10,wutang,26,ERA
27,-,2011-04-01,346.l.49099.t.10,wutang,27,WHIP
60,-,2011-04-01,346.l.49099.t.11,Mike,60,AVG
7,-,2011-04-01,346.l.49099.t.11,Mike,7,R
13,-,2011-04-01,346.l.49099.t.11,Mike,13,RBI
16,-,2011-04-01,346.l.49099.t.11,Mike,16,SB
23,-,2011-04-01,346.l.49099.t.11,Mike,23,TB
4,-,2011-04-01,346.l.49099.t.11,Mike,4,OBP
50,-,2011-04-01,346.l.49099.t.11,Mike,50,IP
28,-,2011-04-01,346.l.49099.t.11,Mike,28,W
32,-,2011-04-01,346.l.49099.t.11,Mike,32,SV
42,-,2011-04-01,346.l.49099.t.11,Mike,42,K
26,-,2011-04-01,346.l.49099.t.11,Mike,26,ERA
27,-,2011-04-01,346.l.49099.t.11,Mike,27,WHIP
60,-,2011-04-01,346.l.49099.t.12,Moacir,60,AVG
7,-,2011-04-01,346.l.49099.t.12,Moacir,7,R
13,-,2011-04-01,346.l.49099.t.12,Moacir,13,RBI
16,-,2011-04-01,346.l.49099.t.12,Moacir,16,SB
23,-,2011-04-01,346.l.49099.t.12,Moacir,23,TB
4,-,2011-04-01,346.l.49099.t.12,Moacir,4,OBP
50,-,2011-04-01,346.l.49099.t.12,Moacir,50,IP
28,-,2011-04-01,346.l.49099.t.12,Moacir,28,W
32,-,2011-04-01,346.l.49099.t.12,Moacir,32,SV
42,-,2011-04-01,346.l.49099.t.12,Moacir,42,K
26,-,2011-04-01,346.l.49099.t.12,Moacir,26,ERA
27,-,2011-04-01,346.l.49099.t.12,Moacir,27,WHIP
60,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",60,AVG
7,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",7,R
13,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",13,RBI
16,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",16,SB
23,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",23,TB
4,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",4,OBP
50,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",50,IP
28,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",28,W
32,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",32,SV
42,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",42,K
26,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",26,ERA
27,-,2011-04-02,346.l.49099.t.1,"Happy Chandler, Adam Peindl",27,WHIP
60,-,2011-04-02,346.l.49099.t.2,Its Still Saudomy in Texas,60,AVG
