stat_id,value,date,team_key
13,3,2013-04-01,308.l.54481.t.11
16,0,2013-04-01,308.l.54481.t.11
23,12,2013-04-01,308.l.54481.t.11
4,.375,2013-04-01,308.l.54481.t.11
50,13.0,2013-04-01,308.l.54481.t.11
28,0,2013-04-01,308.l.54481.t.11
32,0,2013-04-01,308.l.54481.t.11
42,15,2013-04-01,308.l.54481.t.11
26,4.15,2013-04-01,308.l.54481.t.11
27,1.23,2013-04-01,308.l.54481.t.11
60,10/32,2013-04-02,308.l.54481.t.1
7,3,2013-04-02,308.l.54481.t.1
13,3,2013-04-02,308.l.54481.t.1
16,1,2013-04-02,308.l.54481.t.1
23,13,2013-04-02,308.l.54481.t.1
4,.371,2013-04-02,308.l.54481.t.1
50,8.2,2013-04-02,308.l.54481.t.1
28,1,2013-04-02,308.l.54481.t.1
32,0,2013-04-02,308.l.54481.t.1
42,14,2013-04-02,308.l.54481.t.1
26,0.00,2013-04-02,308.l.54481.t.1
27,0.12,2013-04-02,308.l.54481.t.1
60,8/20,2013-04-02,308.l.54481.t.2
7,4,2013-04-02,308.l.54481.t.2
13,2,2013-04-02,308.l.54481.t.2
16,0,2013-04-02,308.l.54481.t.2
23,15,2013-04-02,308.l.54481.t.2
4,.538,2013-04-02,308.l.54481.t.2
50,1.0,2013-04-02,308.l.54481.t.2
28,0,2013-04-02,308.l.54481.t.2
32,0,2013-04-02,308.l.54481.t.2
42,0,2013-04-02,308.l.54481.t.2
26,9.00,2013-04-02,308.l.54481.t.2
27,2.00,2013-04-02,308.l.54481.t.2
60,3/14,2013-04-02,308.l.54481.t.3
7,1,2013-04-02,308.l.54481.t.3
13,1,2013-04-02,308.l.54481.t.3
16,0,2013-04-02,308.l.54481.t.3
23,4,2013-04-02,308.l.54481.t.3
4,.214,2013-04-02,308.l.54481.t.3
50,1.0,2013-04-02,308.l.54481.t.3
28,0,2013-04-02,308.l.54481.t.3
32,0,2013-04-02,308.l.54481.t.3
42,3,2013-04-02,308.l.54481.t.3
26,18.00,2013-04-02,308.l.54481.t.3
27,3.00,2013-04-02,308.l.54481.t.3
60,7/30,2013-04-02,308.l.54481.t.4
7,2,2013-04-02,308.l.54481.t.4
13,3,2013-04-02,308.l.54481.t.4
16,0,2013-04-02,308.l.54481.t.4
23,10,2013-04-02,308.l.54481.t.4
4,.303,2013-04-02,308.l.54481.t.4
50,6.2,2013-04-02,308.l.54481.t.4
28,0,2013-04-02,308.l.54481.t.4
32,1,2013-04-02,308.l.54481.t.4
42,8,2013-04-02,308.l.54481.t.4
26,4.05,2013-04-02,308.l.54481.t.4
27,1.20,2013-04-02,308.l.54481.t.4
60,3/17,2013-04-02,308.l.54481.t.5
