,0
631,2.66
632,5.88
633,3.55
634,4.41
635,2.88
636,4.16
637,1.67
638,1.9
639,3.54
640,3.66
641,6.2
642,
643,2.64
644,3.88
645,1.9
646,2.06
647,
648,
649,2.04
650,2.78
651,2.36
652,3.45
653,3.89
654,3.27
655,2.3
656,2.66
657,3.09
658,6.64
659,3.09
660,
661,2.78
662,3.21
663,2.36
664,7.33
665,1.14
666,3.66
667,5.33
668,
669,5.51
670,6.43
671,4.01
672,3.66
673,6.44
674,6.07
675,1.81
676,1.93
677,4.57
678,8.53
679,9.29
680,2.04
681,2.04
682,3.22
683,2.88
684,4.39
685,3.12
686,1.9
687,1.08
688,1.55
689,1.67
690,2.36
691,1.9
692,3.5
693,2.92
694,1.15
695,1.91
696,3.66
697,3.98
698,
699,
700,1.81
701,2.36
702,3.91
703,
704,1.94
705,
706,
707,3.71
708,3.28
709,2.36
710,1.99
711,1.94
712,2.64
713,3.97
714,0.77
715,4.33
716,2.38
717,1.15
718,1.38
719,2.36
720,1.91
721,3.2
722,3.96
723,7.01
724,2.88
725,
726,2.6
727,6.99
728,1.94
729,5.01
730,5.22
731,2.36
732,2.22
733,1.99
734,2.45
735,4.95
736,4.38
737,4.26
738,2.38
739,2.64
740,3.66
741,4.04
742,1.38
743,3.66
744,1.75
745,4.61
746,2.6
747,1.94
748,3.94
749,2.04
750,2.78
751,
752,4.15
753,3.79
754,2.36
755,2.17
756,1.94
757,2.95
758,
759,1.55
760,1.25
761,3.04
762,2.3
763,3.16
764,3.77
765,7.82
766,
767,1.68
768,
769,2.78
770,2.15
771,2.36
772,
773,8.75
774,5.85
775,2.82
776,2.11
777,5.49
778,2.86
779,
780,4.4
781,2.36
782,3.96
783,7.46
784,2.78
785,2.91
786,1.94
787,
788,2.04
789,5.47
790,
791,9.15
792,
793,2.98
794,4.86
795,1.21
796,3.23
797,9.04
798,1.25
799,3.1
800,6.44
801,2.78
802,4.76
803,3.48
804,5.47
805,2.38
806,2.78
807,4.33
808,2.85
809,2.78
810,3.04
811,5.64
812,2.15
813,6.11
814,2.78
815,6.43
816,2.66
817,6.11
818,1.86
819,0.7
820,2.36
821,1.08
822,4.61
823,7.79
824,4.03
825,2.11
826,3.3
827,6.41
828,4.01
829,2.36
830,2.36
831,2.78
832,2.78
833,3.55
834,4.68
835,
836,2.36
837,5.36
838,5.61
839,6.12
840,4.91
841,2.36
842,4.03
843,6.61
844,3.86
845,3.36
846,5.32
847,4.03
848,3.3
849,
850,
851,2.78
852,1.3
853,4.33
854,6.94
855,1.48
856,2.98
857,1.27
858,5.87
859,1.28
860,2.78
861,8.98
862,1.94
863,3.2
864,3.66
865,2.92
866,6.95
867,
868,2.24
869,4.58
870,3.77
871,2.78
872,2.91
873,3.79
874,3.36
875,5.36
876,2.04
877,3.64
878,3.36
879,
880,1.67
881,4.95
882,5.43
883,
884,1.81
885,4.12
886,2.78
887,2.78
888,5.32
889,1.94
890,2.8
891,
892,4.55
893,2.49
894,
895,2.22
896,3.94
897,6.06
898,4.31
899,3.23
900,4.38
901,3.37
902,6.9
903,4.89
904,2.95
905,4.78
906,2.11
907,6.81
908,4.04
909,2.78
910,
911,1.15
912,2.84
913,2.04
914,3.55
915,3.66
916,2.45
917,3.1
918,6.42
919,1.41
920,
921,1.83
922,4.95
923,2.78
924,6.38
925,2.15
926,2.15
927,7.06
928,3.23
929,4.95
930,1.25
931,3.05
932,3.66
933,6.42
934,3.1
935,1.36
936,2.64
937,
938,
939,1.7
940,4.41
941,2.56
942,1.62
943,4.95
944,1.75
945,3.89
946,
947,2.78
948,2.22
949,2.22
950,2.78
951,2.36
952,1.81
953,3.77
954,2.11
955,2.78
956,1.25
957,
958,
959,1.1
960,3.95
961,4.33
962,2.66
963,1.8
964,5.33
965,4.11
