"","true_era","IP","reported_era"
"1",1.92196109843353,1,0
"2",3.46325879473453,25.3333333333333,5.32894736842105
"3",9.34830111766674,9,7
"4",3.08395350776669,4.33333333333333,8.30769230769231
"5",3.60157244905886,1,0
"6",4.61216993140035,6.66666666666667,2.7
"7",0.475239102200476,6,1.5
"8",2.32973371144455,2,18
"9",5.19393591444983,5,1.8
"10",2.43184546587684,13.3333333333333,3.375
"11",1.91917912457834,7.33333333333333,3.68181818181818
"12",5.34974416814693,5,3.6
"13",7.28805365784814,8,6.75
"14",2.99238690817459,8,2.25
"15",1.82553328481094,17.3333333333333,0.519230769230769
"16",0.176786916102029,3.33333333333333,0
"17",2.11637359871797,2,4.5
"18",2.820665779684,6,3
"19",4.06841053619225,1,0
"20",13.3009058281331,13,10.3846153846154
"21",3.7390776197119,2,0
"22",4.64893553537279,1,9
"23",3.79852915471882,16,3.9375
"24",3.28920061002938,8,1.125
"25",3.48775625427693,2.33333333333333,0
"26",3.85263904290491,3.33333333333333,2.7
"27",3.99355966782078,7.33333333333333,2.45454545454545
"28",4.06337549665062,1.66666666666667,16.2
"29",3.79922478494655,10.6666666666667,3.375
"30",6.15373009191761,8.66666666666667,4.15384615384615
"31",3.80970175111554,3,0
"32",0.756754280794412,7,0
"33",2.87433066110698,17,2.64705882352941
"34",6.99398467707435,2,18
"35",4.6756554568383,3,6
"36",2.36926844038851,7.33333333333333,2.45454545454545
"37",1.48693802501862,1,0
"38",1.97984692459398,13.6666666666667,2.63414634146341
"39",1.99379036189559,1,0
"40",6.18717882655671,1,9
"41",6.15538471309585,9,6
"42",2.16212093405815,25.6666666666667,2.45454545454545
"43",4.16784409168945,3,3
"44",5.38249761593995,7,5.14285714285714
"45",1.13897379349133,2,0
"46",1.24601025464298,13.6666666666667,0.658536585365854
"47",0.295204253980844,7.33333333333333,0
"48",4.963490267067,7,9
"49",2.27492548520213,5,1.8
"50",1.54660161723912,9,4
"51",2.90299648912,0.333333333333333,0
"52",6.44858964358844,18,9
"53",6.54041723244625,17.3333333333333,8.30769230769231
"54",5.65360442314918,7,6.42857142857143
"55",1.54736124277987,2,0
"56",2.33540518595402,13,4.15384615384615
"57",1.90259840236645,8,1.125
"58",2.97001308124872,1.33333333333333,0
"59",4.72216018785011,10,6.3
"60",3.58117522942539,16,3.375
"61",7.40740901285965,6.33333333333333,7.10526315789474
"62",1.06420253606348,2.33333333333333,3.85714285714286
"63",3.54932869436554,1,0
"64",5.69563389727852,9,6
"65",3.14576898762065,14.3333333333333,4.3953488372093
"66",2.31684667375284,10,1.8
"67",8.68761676323351,2,31.5
"68",3.06028251677046,13,6.23076923076923
"69",4.23224093058415,7.33333333333333,1.22727272727273
"70",1.96964997742246,7,2.57142857142857
"71",0.519239337030248,8,0
"72",0.816597201733502,8,0
"73",6.66292170187863,1,9
"74",0.611321310406873,1,0
"75",2.12513781653681,9,2
"76",1.69558264517142,2.66666666666667,0
"77",2.14145997769233,1,0
"78",2.64637945906439,10.3333333333333,3.48387096774194
"79",1.44004064576703,4,0
"80",7.22494470024826,8,2.25
"81",2.0241575891316,14.3333333333333,3.13953488372093
"82",1.08362903014598,16.6666666666667,0.54
"83",1.22821896164652,10.6666666666667,3.375
"84",3.88015538784461,7,2.57142857142857
"85",9.86140246985969,1,27
"86",2.52078036099621,27,2
"87",7.91685547140948,1,0
"88",0.226142476007202,20.3333333333333,1.32786885245902
"89",0.863004384585474,0.333333333333333,0
"90",4.78770853464362,8,3.375
"91",5.56080664901044,1,0
"92",4.16559297330229,1,0
"93",2.91800646986636,2,0
"94",3.56565117412884,2.66666666666667,0
"95",2.39314484837654,6,6
"96",6.07705377277487,8.66666666666667,7.26923076923077
"97",1.04156745667298,15,0.6
"98",10.9327631698565,1,0
"99",3.48333646308773,9,4
"100",4.68520671093754,9.66666666666667,1.86206896551724
"101",1.87987443520753,9.33333333333333,0.964285714285714
"102",4.07485688616289,8,3.375
"103",2.70650426941945,7,1.28571428571429
"104",2.8059076557643,8.33333333333333,3.24
"105",1.24884421371619,5.66666666666667,3.17647058823529
"106",0.873078455472674,4,0
"107",4.5208948368452,16,3.9375
"108",1.25698316691073,19.6666666666667,1.3728813559322
"109",3.2361947460838,3,0
"110",3.95712233889721,6,4.5
"111",8.38254712524035,7.66666666666667,2.34782608695652
"112",3.85677732461273,4,4.5
"113",5.60322267075468,15,4.8
"114",2.9313739895091,13.6666666666667,2.63414634146341
"115",4.56082461190886,2.66666666666667,3.375
"116",6.31092076008273,8,7.875
"117",5.0310289778485,1.33333333333333,0
"118",3.11366245638275,9.33333333333333,2.89285714285714
"119",1.42173761391223,8,1.125
"120",8.4097004545154,1,0
"121",6.05991271377718,1,9
