"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"67","346.l.49099.t.7",16535,50,1.333,2015,"IP",2,0,0,0,1.62
"68","346.l.49099.t.8",16535,50,6.333,2015,"IP",7,4.26,0.473333333333333,0.157777777777778,1.62
"69","346.l.49099.t.9",16535,50,6,2015,"IP",6,7.5,0.833333333333333,0.277777777777778,1.62
"70","346.l.49099.t.10",16535,50,4,2015,"IP",4,2.25,0.25,0.0833333333333333,1.62
"71","346.l.49099.t.11",16535,50,4,2015,"IP",4,6.75,0.75,0.25,1.62
"72","346.l.49099.t.12",16535,50,2.333,2015,"IP",3,3.86,0.428888888888889,0.142962962962963,1.62
"73","346.l.49099.t.1",16536,50,5,2015,"IP",5,9,1,0.333333333333333,1.62
"74","346.l.49099.t.2",16536,50,18.333,2015,"IP",19,1.47,0.163333333333333,0.0544444444444444,1.62
"75","346.l.49099.t.3",16536,50,8,2015,"IP",8,0,0,0,1.62
"76","346.l.49099.t.4",16536,50,9,2015,"IP",9,6,0.666666666666667,0.222222222222222,1.62
"77","346.l.49099.t.5",16536,50,10,2015,"IP",10,3.6,0.4,0.133333333333333,1.62
"78","346.l.49099.t.6",16536,50,NA,2015,"IP",22,2.49,0.276666666666667,0.0922222222222222,1.62
"79","346.l.49099.t.7",16536,50,2,2015,"IP",2,4.5,0.5,0.166666666666667,1.62
"80","346.l.49099.t.8",16536,50,NA,2015,"IP",12,3,0.333333333333333,0.111111111111111,1.62
"81","346.l.49099.t.9",16536,50,7.333,2015,"IP",8,1.23,0.136666666666667,0.0455555555555556,1.62
"82","346.l.49099.t.10",16536,50,23,2015,"IP",23,0.78,0.0866666666666667,0.0288888888888889,1.62
"83","346.l.49099.t.11",16536,50,3,2015,"IP",3,9,1,0.333333333333333,1.62
"84","346.l.49099.t.12",16536,50,6,2015,"IP",6,9,1,0.333333333333333,1.62
"85","346.l.49099.t.1",16537,50,9.667,2015,"IP",10,4.66,0.517777777777778,0.172592592592593,1.62
"86","346.l.49099.t.2",16537,50,18,2015,"IP",18,4,0.444444444444444,0.148148148148148,1.62
