stat_id,value,date,team_key
26,-,2014-03-24,328.l.69518.t.12
27,-,2014-03-24,328.l.69518.t.12
60,-,2014-03-25,328.l.69518.t.1
7,-,2014-03-25,328.l.69518.t.1
13,-,2014-03-25,328.l.69518.t.1
16,-,2014-03-25,328.l.69518.t.1
23,-,2014-03-25,328.l.69518.t.1
4,-,2014-03-25,328.l.69518.t.1
50,-,2014-03-25,328.l.69518.t.1
28,-,2014-03-25,328.l.69518.t.1
32,-,2014-03-25,328.l.69518.t.1
42,-,2014-03-25,328.l.69518.t.1
26,-,2014-03-25,328.l.69518.t.1
27,-,2014-03-25,328.l.69518.t.1
60,-,2014-03-25,328.l.69518.t.2
7,-,2014-03-25,328.l.69518.t.2
13,-,2014-03-25,328.l.69518.t.2
16,-,2014-03-25,328.l.69518.t.2
23,-,2014-03-25,328.l.69518.t.2
4,-,2014-03-25,328.l.69518.t.2
50,-,2014-03-25,328.l.69518.t.2
28,-,2014-03-25,328.l.69518.t.2
32,-,2014-03-25,328.l.69518.t.2
42,-,2014-03-25,328.l.69518.t.2
26,-,2014-03-25,328.l.69518.t.2
27,-,2014-03-25,328.l.69518.t.2
60,-,2014-03-25,328.l.69518.t.3
7,-,2014-03-25,328.l.69518.t.3
13,-,2014-03-25,328.l.69518.t.3
16,-,2014-03-25,328.l.69518.t.3
23,-,2014-03-25,328.l.69518.t.3
4,-,2014-03-25,328.l.69518.t.3
50,-,2014-03-25,328.l.69518.t.3
28,-,2014-03-25,328.l.69518.t.3
32,-,2014-03-25,328.l.69518.t.3
42,-,2014-03-25,328.l.69518.t.3
26,-,2014-03-25,328.l.69518.t.3
27,-,2014-03-25,328.l.69518.t.3
60,-,2014-03-25,328.l.69518.t.4
7,-,2014-03-25,328.l.69518.t.4
13,-,2014-03-25,328.l.69518.t.4
16,-,2014-03-25,328.l.69518.t.4
23,-,2014-03-25,328.l.69518.t.4
4,-,2014-03-25,328.l.69518.t.4
50,-,2014-03-25,328.l.69518.t.4
28,-,2014-03-25,328.l.69518.t.4
32,-,2014-03-25,328.l.69518.t.4
42,-,2014-03-25,328.l.69518.t.4
26,-,2014-03-25,328.l.69518.t.4
27,-,2014-03-25,328.l.69518.t.4
60,-,2014-03-25,328.l.69518.t.5
7,-,2014-03-25,328.l.69518.t.5
13,-,2014-03-25,328.l.69518.t.5
16,-,2014-03-25,328.l.69518.t.5
23,-,2014-03-25,328.l.69518.t.5
4,-,2014-03-25,328.l.69518.t.5
50,-,2014-03-25,328.l.69518.t.5
28,-,2014-03-25,328.l.69518.t.5
32,-,2014-03-25,328.l.69518.t.5
42,-,2014-03-25,328.l.69518.t.5
